Time [s],Channel 0
0.936871417,0
0.936878167,1
0.936878583,0
0.936879417,1
0.936879833,0
0.936880667,1
0.936881083,0
0.936881917,1
0.936882333,0
0.936883167,1
0.936883583,0
0.936884417,1
0.936884833,0
0.936885667,1
0.936886083,0
0.936886917,1
0.936887333,0
0.936888167,1
0.936888583,0
0.936889417,1
0.936889833,0
0.936890667,1
0.936891083,0
0.936891917,1
0.936892333,0
0.936893083,1
0.936893583,0
0.936894333,1
0.936894833,0
0.936895583,1
0.936896083,0
0.936896833,1
0.936897333,0
0.936898083,1
0.936899000,0
0.936899333,1
0.936900250,0
0.936900583,1
0.936901500,0
0.936901833,1
0.936902750,0
0.936903083,1
0.936904000,0
0.936904333,1
0.936905167,0
0.936905583,1
0.936906417,0
0.936906833,1
0.936907667,0
0.936908083,1
0.936908500,0
0.936909333,1
0.936909750,0
0.936910583,1
0.936911000,0
0.936911833,1
0.936912250,0
0.936913083,1
0.936913500,0
0.936914333,1
0.936914750,0
0.936915500,1
0.936916000,0
0.936916750,1
0.936917250,0
0.936918000,1
0.936918500,0
0.936919250,1
0.936919750,0
0.936920500,1
0.936921000,0
0.936921750,1
0.936922250,0
0.936923000,1
0.936923417,0
0.936924250,1
0.936924667,0
0.936925500,1
0.936925917,0
0.936926750,1
0.936927167,0
0.936928000,1
0.936928417,0
0.936929250,1
0.936929667,0
0.936930500,1
0.936930917,0
0.936931750,1
0.936932167,0
0.936933000,1
0.936933417,0
0.936934250,1
0.936934667,0
0.936935500,1
0.936935917,0
0.936936750,1
0.936937167,0
0.936938000,1
0.936938417,0
0.936939167,1
0.936939667,0
0.936940417,1
0.936940917,0
0.936941667,1
0.936942167,0
0.936942917,1
0.936943417,0
0.936944167,1
0.936944667,0
0.936945417,1
0.936945833,0
0.936946667,1
0.936947083,0
0.936947917,1
0.936948333,0
0.936949167,1
0.936949583,0
0.936950417,1
0.936950833,0
0.936951667,1
0.936952083,0
0.936952917,1
0.936953333,0
0.936954167,1
0.936954583,0
0.936955417,1
0.936955833,0
0.936956667,1
0.936957083,0
0.936957917,1
0.936958333,0
0.936959167,1
0.936959583,0
0.936960417,1
0.936960833,0
0.936961583,1
0.936962083,0
0.936962833,1
0.936963333,0
0.936964083,1
0.936964583,0
0.936965333,1
0.936965833,0
0.936966583,1
0.936967083,0
0.936967833,1
0.936968250,0
0.936969083,1
0.936969500,0
0.936970333,1
0.936970750,0
0.936971583,1
0.936972000,0
0.936972833,1
0.936973250,0
0.936974083,1
0.936974500,0
0.936975333,1
0.936975750,0
0.936976583,1
0.936977000,0
0.936977833,1
0.936978250,0
0.936979083,1
0.936979500,0
0.936980333,1
0.936980750,0
0.936981583,1
0.936982000,0
0.936982833,1
0.936983250,0
0.936984083,1
0.936984500,0
0.936985250,1
0.936985750,0
0.936986500,1
0.936987000,0
0.936987750,1
0.936988250,0
0.936989000,1
0.936989500,0
0.936990250,1
0.936990750,0
0.936991500,1
0.936991917,0
0.936992750,1
0.936993167,0
0.936994000,1
0.936994417,0
0.936995250,1
0.936995667,0
